PO,Vendor,Ordered On,Warehouse,Total Quantity,Total Cost,
3Q9OBNZY,VEQGU,20/3/2017,"BLR5 - Bangalore, Karnataka",654,"INR 794,088.57",
5GEGSUCH,VEQGU,7/4/2017,"DEL3 - Sonipat, Haryana",5236,"INR 402,306.32",
4TF1GXDZ,VEQGU,7/4/2017,"DEL3 - Sonipat, Haryana",701,"INR 538,508.08",
3DF1EKQU,VEQGU,7/4/2017,"BOM3 - Bhiwandi, Maharashtra",5128,"INR 261,572.73",
43TLASAO,VEQGU,7/4/2017,"BLR5 - Bangalore, Karnataka",5281,"INR 417,006.14",
31JH29EC,VEQGU,7/4/2017,"BOM3 - Bhiwandi, Maharashtra",2135,"INR 552,205.82",
2FPJGSIA,VEQGU,7/4/2017,"DEL3 - Sonipat, Haryana",778,"INR 175,014.76",
8OT8839D,VEQGU,7/4/2017,"BOM3 - Bhiwandi, Maharashtra",1227,"INR 506,071.95",
8QDMT14D,VEQGU,7/4/2017,"HYD7 - Hyderabad, Telangana",1507,"INR 377,109.19",
45IL3LIM,VEQGU,7/4/2017,"BLR5 - Bangalore, Karnataka",1595,"INR 621,497.45",
2PA4M59A,VEQGU,7/4/2017,"BLR5 - Bangalore, Karnataka",2965,"INR 771,399.39",
2CTT84SV,VEQGU,18/4/2017,"DEL3 - Sonipat, Haryana",315,"INR 144,347.09",
5XWH83KP,VEQGU,19/4/2017,"DEL3 - Sonipat, Haryana",949,"INR 254,298.80",
5DUVPNLJ,VEQGU,19/4/2017,"DEL3 - Sonipat, Haryana",949,"INR 254,298.80",
2QAKF5SV,VEQGU,24/4/2017,"BLR5 - Bangalore, Karnataka",2239,"INR 299,666.25",
1GHY6FMA,VEQGU,25/4/2017,"BOM3 - Bhiwandi, Maharashtra",106,"INR 42,092.84",
5NSP61PZ,VEQGU,9/5/2017,"DEL3 - Sonipat, Haryana",50,"INR 24,745.01",
7V2AEZOF,VEQGU,15/5/2017,"BLR5 - Bangalore, Karnataka",185,"INR 78,604.80",
4BMR3ZTS,VEQGU,15/5/2017,"BOM3 - Bhiwandi, Maharashtra",396,"INR 172,329.86",
5BKEVAOE,VEQGU,15/5/2017,"DEL3 - Sonipat, Haryana",309,"INR 122,832.30",
1GJESQCJ,VEQGU,16/5/2017,"BOM3 - Bhiwandi, Maharashtra",630,"INR 170,248.64",
7V4198PF,VEQGU,16/5/2017,"HYD7 - Hyderabad, Telangana",442,"INR 126,138.33",
78VVZWFH,VEQGU,16/5/2017,"DEL3 - Sonipat, Haryana",494,"INR 144,035.75",
4MSLGWKP,VEQGU,16/5/2017,"BLR5 - Bangalore, Karnataka",741,"INR 184,214.59",
4G8KT1QV,VEQGU,19/5/2017,"BOM3 - Bhiwandi, Maharashtra",297,"INR 474,864.41",
8S1CT1HL,VEQGU,19/5/2017,"BOM3 - Bhiwandi, Maharashtra",1168,"INR 578,975.29",
13SJ2SNS,VEQGU,22/5/2017,"HYD7 - Hyderabad, Telangana",1014,"INR 334,524.21",
1VUA4MIY,VEQGU,22/5/2017,"DEL3 - Sonipat, Haryana",2815,"INR 1,035,623.32",
65Q6N9MV,VEQGU,22/5/2017,"BLR5 - Bangalore, Karnataka",3384,"INR 1,140,583.62",
2YIKVDCI,VEQGU,22/5/2017,"BOM3 - Bhiwandi, Maharashtra",3302,"INR 1,046,443.29",
7V6UJ2AT,VEQGU,23/5/2017,"BLR5 - Bangalore, Karnataka",74,"INR 5,118.28",
22N1RIDT,VEQGU,23/5/2017,"DEL3 - Sonipat, Haryana",149,"INR 19,102.60",
2FW552TX,VEQGU,23/5/2017,"BOM3 - Bhiwandi, Maharashtra",85,"INR 8,330.73",
